,template_id,answer,count
0,descriptive_32,False,625
1,descriptive_32,True,625
2,counterfactual_8,True,1005
3,counterfactual_8,False,1005
4,descriptive_4,3,58
5,descriptive_4,1,121
6,descriptive_4,2,95
7,descriptive_4,4,42
8,descriptive_4,0,127
9,descriptive_17,1,204
10,descriptive_17,0,204
11,descriptive_17,3,48
12,descriptive_17,2,164
13,descriptive_29,False,121
14,descriptive_29,True,200
15,descriptive_5,0,119
16,descriptive_5,2,29
17,descriptive_5,1,119
18,descriptive_5,3,1
19,descriptive_25,circle,770
20,descriptive_25,triangle,407
21,descriptive_25,cube,470
22,descriptive_10,0,422
23,descriptive_10,3,21
24,descriptive_10,1,122
25,descriptive_10,2,93
26,descriptive_10,4,2
27,descriptive_20,0,297
28,descriptive_20,3,50
29,descriptive_20,2,231
30,descriptive_20,1,297
31,descriptive_20,4,1
32,descriptive_35,True,577
33,descriptive_35,False,94
34,descriptive_31,False,474
35,descriptive_31,True,474
36,cause_3,0,646
37,cause_3,1,46
38,cause_3,2,15
39,cause_3,3,1
40,descriptive_12,0,146
41,descriptive_12,2,146
42,descriptive_12,3,65
43,descriptive_12,1,125
44,descriptive_12,4,18
45,descriptive_36,True,714
46,descriptive_36,False,714
47,prevent_2,True,229
48,prevent_2,False,753
49,descriptive_33,False,235
50,descriptive_33,True,384
51,enable_4,0,672
52,enable_4,1,72
53,enable_4,2,2
54,counterfactual_6,False,947
55,counterfactual_6,True,947
56,descriptive_7,0,365
57,descriptive_7,4,179
58,descriptive_7,2,385
59,descriptive_7,3,331
60,descriptive_7,1,365
61,descriptive_7,5,2
62,cause_2,False,746
63,cause_2,True,223
64,counterfactual_5,0,372
65,counterfactual_5,3,207
66,counterfactual_5,2,387
67,counterfactual_5,1,387
68,counterfactual_5,4,5
69,descriptive_19,2,33
70,descriptive_19,0,145
71,descriptive_19,1,65
72,descriptive_19,3,4
73,descriptive_19,4,1
74,enable_3,0,1264
75,enable_3,1,64
76,enable_3,2,5
77,prevent_5,0,765
78,prevent_5,1,165
79,prevent_5,3,1
80,prevent_5,2,12
81,counterfactual_2,True,788
82,counterfactual_2,False,788
83,counterfactual_7,False,941
84,counterfactual_7,True,641
85,cause_1,False,1022
86,cause_1,True,212
87,descriptive_3,1,416
88,descriptive_3,0,416
89,descriptive_3,4,125
90,descriptive_3,3,318
91,descriptive_3,2,416
92,descriptive_3,5,17
93,descriptive_3,7,1
94,descriptive_3,6,3
95,descriptive_13,1,153
96,descriptive_13,2,20
97,descriptive_13,0,153
98,prevent_3,0,641
99,prevent_3,1,41
100,prevent_3,2,11
101,descriptive_22,gray,233
102,descriptive_22,blue,233
103,descriptive_22,purple,233
104,descriptive_22,cyan,233
105,descriptive_22,brown,233
106,descriptive_22,yellow,233
107,descriptive_22,red,233
108,descriptive_22,green,233
109,descriptive_23,brown,248
110,descriptive_23,gray,248
111,descriptive_23,blue,248
112,descriptive_23,cyan,248
113,descriptive_23,purple,248
114,descriptive_23,yellow,248
115,descriptive_23,red,248
116,descriptive_23,green,248
117,prevent_0,False,973
118,prevent_0,True,76
119,descriptive_6,0,347
120,descriptive_6,1,347
121,descriptive_6,2,288
122,descriptive_6,3,80
123,descriptive_6,4,7
124,descriptive_34,True,344
125,descriptive_34,False,344
126,descriptive_24,circle,740
127,descriptive_24,cube,440
128,descriptive_24,triangle,365
129,counterfactual_3,1,390
130,counterfactual_3,0,382
131,counterfactual_3,3,280
132,counterfactual_3,2,390
133,counterfactual_3,4,6
134,counterfactual_1,True,257
135,counterfactual_1,False,557
136,cause_0,False,139
137,cause_0,True,97
138,descriptive_37,False,301
139,descriptive_37,True,475
140,prevent_1,False,750
141,prevent_1,True,168
142,enable_0,False,521
143,enable_0,True,180
144,descriptive_2,0,313
145,descriptive_2,1,313
146,descriptive_2,2,313
147,descriptive_2,3,70
148,descriptive_2,4,7
149,descriptive_2,5,1
150,descriptive_30,True,729
151,descriptive_30,False,729
152,descriptive_15,1,410
153,descriptive_15,3,463
154,descriptive_15,2,410
155,descriptive_15,0,364
156,descriptive_15,4,97
157,descriptive_15,5,2
158,descriptive_8,0,393
159,descriptive_8,1,93
160,descriptive_8,3,15
161,descriptive_8,2,41
162,descriptive_8,4,2
163,enable_2,False,685
164,enable_2,True,110
165,descriptive_16,2,187
166,descriptive_16,0,196
167,descriptive_16,1,196
168,descriptive_16,3,44
169,descriptive_16,4,1
170,descriptive_27,True,587
171,descriptive_27,False,438
172,descriptive_26,True,710
173,descriptive_26,False,710
174,counterfactual_4,3,58
175,counterfactual_4,1,227
176,counterfactual_4,0,527
177,counterfactual_4,2,182
178,counterfactual_4,4,14
179,counterfactual_4,5,1
180,descriptive_21,0,220
181,descriptive_21,2,164
182,descriptive_21,1,220
183,descriptive_21,3,24
184,enable_1,False,652
185,enable_1,True,112
186,enable_5,0,720
187,enable_5,1,120
188,enable_5,2,3
189,prevent_4,0,671
190,prevent_4,1,71
191,prevent_4,2,10
192,descriptive_1,0,66
193,descriptive_1,1,66
194,descriptive_1,2,22
195,descriptive_1,3,1
196,counterfactual_0,False,646
197,counterfactual_0,True,646
198,descriptive_28,True,167
199,descriptive_28,False,247
200,cause_4,0,735
201,cause_4,1,135
202,cause_4,2,33
203,cause_4,3,2
204,descriptive_18,0,148
205,descriptive_18,2,37
206,descriptive_18,1,68
207,descriptive_18,3,5
208,descriptive_18,4,1
209,descriptive_14,1,338
210,descriptive_14,0,338
211,descriptive_14,3,90
212,descriptive_14,2,338
213,descriptive_14,4,4
214,descriptive_9,0,645
215,descriptive_9,1,45
216,descriptive_9,2,7
217,descriptive_11,1,323
218,descriptive_11,3,85
219,descriptive_11,0,623
220,descriptive_11,2,243
221,descriptive_11,4,26
222,descriptive_11,5,3
223,descriptive_0,0,161
224,descriptive_0,2,161
225,descriptive_0,1,161
226,descriptive_0,4,23
227,descriptive_0,3,71
228,cause_5,0,728
229,cause_5,1,128
230,cause_5,2,20
231,cause_5,3,3
