,simulation_id,answer,answer_type,count
0,3,False,Boolean,1281
1,3,True,Boolean,1245
2,3,0,Count,461
3,3,1,Count,461
4,3,blue,Color,54
5,3,brown,Color,54
6,3,2,Count,300
7,3,triangle,Shape,62
8,3,green,Color,54
9,3,circle,Shape,62
10,3,gray,Color,54
11,3,red,Color,54
12,3,3,Count,116
13,3,purple,Color,54
14,3,yellow,Color,54
15,3,cube,Shape,62
16,3,cyan,Color,54
17,9,True,Boolean,946
18,9,3,Count,71
19,9,1,Count,263
20,9,4,Count,39
21,9,2,Count,92
22,9,red,Color,39
23,9,triangle,Shape,52
24,9,False,Boolean,946
25,9,purple,Color,39
26,9,0,Count,263
27,9,cyan,Color,39
28,9,cube,Shape,52
29,9,blue,Color,39
30,9,brown,Color,39
31,9,circle,Shape,52
32,9,gray,Color,39
33,9,yellow,Color,39
34,9,green,Color,39
35,6,1,Count,348
36,6,False,Boolean,995
37,6,red,Color,47
38,6,yellow,Color,47
39,6,True,Boolean,995
40,6,0,Count,348
41,6,blue,Color,47
42,6,cube,Shape,52
43,6,3,Count,38
44,6,green,Color,47
45,6,brown,Color,47
46,6,2,Count,94
47,6,triangle,Shape,52
48,6,cyan,Color,47
49,6,purple,Color,47
50,6,gray,Color,47
51,6,circle,Shape,52
52,10,False,Boolean,1301
53,10,0,Count,209
54,10,True,Boolean,1301
55,10,1,Count,253
56,10,2,Count,238
57,10,blue,Color,21
58,10,green,Color,21
59,10,triangle,Shape,91
60,10,circle,Shape,91
61,10,3,Count,75
62,10,brown,Color,21
63,10,purple,Color,21
64,10,red,Color,21
65,10,gray,Color,21
66,10,cube,Shape,91
67,10,cyan,Color,21
68,10,yellow,Color,21
69,8,False,Boolean,379
70,8,1,Count,271
71,8,True,Boolean,379
72,8,purple,Color,52
73,8,blue,Color,52
74,8,circle,Shape,131
75,8,0,Count,271
76,8,brown,Color,52
77,8,red,Color,52
78,8,triangle,Shape,131
79,8,cyan,Color,52
80,8,cube,Shape,131
81,8,green,Color,52
82,8,yellow,Color,52
83,8,4,Count,3
84,8,gray,Color,52
85,8,2,Count,38
86,8,3,Count,6
87,2,True,Boolean,1383
88,2,0,Count,256
89,2,gray,Color,58
90,2,False,Boolean,1383
91,2,1,Count,256
92,2,2,Count,117
93,2,brown,Color,58
94,2,yellow,Color,58
95,2,cube,Shape,138
96,2,4,Count,44
97,2,red,Color,58
98,2,green,Color,58
99,2,blue,Color,58
100,2,purple,Color,58
101,2,circle,Shape,138
102,2,cyan,Color,58
103,2,3,Count,86
104,2,5,Count,8
105,2,7,Count,1
106,2,6,Count,1
107,7,True,Boolean,1418
108,7,1,Count,379
109,7,2,Count,331
110,7,0,Count,379
111,7,cyan,Color,64
112,7,circle,Shape,146
113,7,False,Boolean,1240
114,7,red,Color,64
115,7,blue,Color,64
116,7,cube,Shape,146
117,7,triangle,Shape,146
118,7,yellow,Color,64
119,7,green,Color,64
120,7,3,Count,94
121,7,gray,Color,64
122,7,purple,Color,64
123,7,brown,Color,64
124,7,4,Count,1
125,1,True,Boolean,1336
126,1,False,Boolean,1336
127,1,0,Count,400
128,1,1,Count,400
129,1,gray,Color,58
130,1,brown,Color,58
131,1,circle,Shape,181
132,1,yellow,Color,58
133,1,cube,Shape,181
134,1,red,Color,58
135,1,triangle,Shape,181
136,1,cyan,Color,58
137,1,3,Count,48
138,1,blue,Color,58
139,1,2,Count,83
140,1,green,Color,58
141,1,4,Count,12
142,1,purple,Color,58
143,1,5,Count,3
144,4,True,Boolean,936
145,4,0,Count,235
146,4,purple,Color,53
147,4,circle,Shape,600
148,4,False,Boolean,936
149,4,2,Count,274
150,4,yellow,Color,53
151,4,3,Count,235
152,4,green,Color,53
153,4,1,Count,238
154,4,gray,Color,53
155,4,red,Color,53
156,4,brown,Color,53
157,4,blue,Color,53
158,4,4,Count,84
159,4,cyan,Color,53
160,5,False,Boolean,882
161,5,True,Boolean,882
162,5,1,Count,413
163,5,2,Count,190
164,5,0,Count,413
165,5,purple,Color,35
166,5,yellow,Color,35
167,5,triangle,Shape,57
168,5,brown,Color,35
169,5,green,Color,35
170,5,circle,Shape,57
171,5,3,Count,7
172,5,blue,Color,35
173,5,cube,Shape,57
174,5,red,Color,35
175,5,cyan,Color,35
176,5,gray,Color,35
